TestNo, BLOCK_I, BLOCK_K, BLOCK_J, Score_1, Score_2, Score_3, Score_Overall
1, 4, 4, 4, 12.8513569832, 12.8602671623, 12.9934279919, 12.8513569832
2, 8, 4, 4, 11.3451521397, 11.7126541138, 11.8558809757, 11.3451521397
3, 16, 4, 4, 11.4516351223, 11.6016530991, 11.700740099, 11.4516351223
4, 32, 4, 4, 11.0573651791, 11.3189618587, 11.3285858631, 11.0573651791
5, 64, 4, 4, 10.8725659847, 10.8975639343, 10.9090161324, 10.8725659847
6, 4, 4, 8, 10.9468522072, 11.8204932213, 11.8779690266, 10.9468522072
7, 8, 4, 8, 11.0326418877, 11.4210488796, 11.4792678356, 11.0326418877
8, 16, 4, 8, 10.8091490269, 10.8452339172, 10.8535571098, 10.8091490269
9, 32, 4, 8, 10.4505469799, 10.5981900692, 10.5993440151, 10.4505469799
10, 64, 4, 8, 10.3541190624, 10.5062019825, 11.0476958752, 10.3541190624
11, 4, 4, 16, 11.2035610676, 11.2549870014, 11.8886649609, 11.2035610676
12, 8, 4, 16, 10.7626430988, 10.8307909966, 11.0776929855, 10.7626430988
13, 16, 4, 16, 10.2889459133, 10.4059588909, 10.4554610252, 10.2889459133
14, 32, 4, 16, 10.2381851673, 10.2516989708, 10.3096880913, 10.2381851673
15, 64, 4, 16, 10.0998008251, 10.1896440983, 10.2373991013, 10.0998008251
16, 4, 4, 32, 10.8387680054, 10.8964240551, 10.9036960602, 10.8387680054
17, 8, 4, 32, 10.3329920769, 10.3439598083, 10.360145092, 10.3329920769
18, 16, 4, 32, 10.1451070309, 10.1481099129, 10.1580851078, 10.1451070309
19, 32, 4, 32, 10.0058839321, 10.0207769871, 10.0371279716, 10.0058839321
20, 64, 4, 32, 9.97842812538, 9.99302220345, 10.0216479301, 9.97842812538
21, 4, 4, 64, 10.3881659508, 10.4170868397, 10.4210999012, 10.3881659508
22, 8, 4, 64, 10.0716559887, 10.1095950603, 10.1097350121, 10.0716559887
23, 16, 4, 64, 10.0362489223, 10.0508189201, 10.0784020424, 10.0362489223
24, 32, 4, 64, 10.0000648499, 10.0130741596, 10.0372350216, 10.0000648499
25, 64, 4, 64, 9.95934987068, 9.96764492989, 9.9849691391, 9.95934987068
26, 4, 8, 4, 12.6980760098, 13.737487793, 13.7642531395, 12.6980760098
27, 8, 8, 4, 12.6335439682, 12.6890079975, 12.8100538254, 12.6335439682
28, 16, 8, 4, 11.532515049, 11.8496849537, 11.8677020073, 11.532515049
29, 32, 8, 4, 11.2067210674, 11.2239089012, 11.4843211174, 11.2067210674
30, 64, 8, 4, 11.3154819012, 11.3225409985, 11.3509559631, 11.3154819012
31, 4, 8, 8, 12.672852993, 12.6964550018, 12.7202479839, 12.672852993
32, 8, 8, 8, 11.2193820477, 11.2196979523, 11.2633700371, 11.2193820477
33, 16, 8, 8, 11.21865201, 11.246243, 11.2698500156, 11.21865201
34, 32, 8, 8, 11.0016450882, 11.0369799137, 11.349850893, 11.0016450882
35, 64, 8, 8, 10.6714060307, 10.9440147877, 10.9761340618, 10.6714060307
36, 4, 8, 16, 11.6810498238, 11.9185299873, 12.390196085, 11.6810498238
37, 8, 8, 16, 11.0081009865, 11.1606879234, 11.4342889786, 11.0081009865
38, 16, 8, 16, 10.9527659416, 10.986702919, 11.0501139164, 10.9527659416
39, 32, 8, 16, 10.7494130135, 10.7525229454, 10.7567620277, 10.7494130135
40, 64, 8, 16, 10.6987738609, 10.7178452015, 11.3576979637, 10.6987738609
41, 4, 8, 32, 11.418708086, 11.5037369728, 11.6226408482, 11.418708086
42, 8, 8, 32, 10.883149147, 10.9339821339, 10.9744188786, 10.883149147
43, 16, 8, 32, 10.6155791283, 10.7056381702, 10.7239999771, 10.6155791283
44, 32, 8, 32, 10.6231751442, 10.6233019829, 10.631332159, 10.6231751442
45, 64, 8, 32, 10.5750880241, 10.6072158813, 10.6439950466, 10.5750880241
46, 4, 8, 64, 10.9397799969, 10.9568531513, 11.3269050121, 10.9397799969
47, 8, 8, 64, 10.7664029598, 10.8618052006, 10.887693882, 10.7664029598
48, 16, 8, 64, 10.5953211784, 10.5967071056, 10.7085089684, 10.5953211784
49, 32, 8, 64, 10.4325900078, 10.4532392025, 10.5312960148, 10.4325900078
50, 64, 8, 64, 10.405064106, 10.5064301491, 10.6021878719, 10.405064106
51, 4, 16, 4, 12.7587609291, 13.7554910183, 13.8011529446, 12.7587609291
52, 8, 16, 4, 12.0856089592, 12.1898629665, 12.4548370838, 12.0856089592
53, 16, 16, 4, 11.2269151211, 11.4143769741, 11.4335179329, 11.2269151211
54, 32, 16, 4, 10.945950985, 11.0754039288, 11.1190140247, 10.945950985
55, 64, 16, 4, 10.871915102, 10.8962080479, 10.9855010509, 10.871915102
56, 4, 16, 8, 11.4331169128, 12.4115319252, 13.4108278751, 11.4331169128
57, 8, 16, 8, 10.8878829479, 11.3128519058, 11.3769881725, 10.8878829479
58, 16, 16, 8, 10.8905909061, 10.91264081, 10.9665720463, 10.8905909061
59, 32, 16, 8, 10.5258131027, 10.530944109, 10.6754128933, 10.5258131027
60, 64, 16, 8, 10.7235848904, 10.7285270691, 10.7339019775, 10.7235848904
61, 4, 16, 16, 11.8859741688, 11.8867161274, 11.9721460342, 11.8859741688
62, 8, 16, 16, 11.0742030144, 11.1220958233, 11.1566500664, 11.0742030144
63, 16, 16, 16, 10.5459170341, 10.5747129917, 10.6997599602, 10.5459170341
64, 32, 16, 16, 10.3918340206, 10.5091300011, 10.5404410362, 10.3918340206
65, 64, 16, 16, 10.4764621258, 10.5189599991, 10.5328080654, 10.4764621258
66, 4, 16, 32, 11.070551157, 11.0891609192, 11.101580143, 11.070551157
67, 8, 16, 32, 10.6489360332, 10.7173421383, 10.7239809036, 10.6489360332
68, 16, 16, 32, 10.417320013, 10.4242339134, 10.5616822243, 10.417320013
69, 32, 16, 32, 10.3132998943, 10.3491370678, 10.3788268566, 10.3132998943
70, 64, 16, 32, 10.333496809, 10.3691308498, 10.5201718807, 10.333496809
71, 4, 16, 64, 10.7354400158, 10.763269186, 10.8163948059, 10.7354400158
72, 8, 16, 64, 10.4405930042, 10.4721450806, 10.4866659641, 10.4405930042
73, 16, 16, 64, 10.3249909878, 10.326641798, 10.3464369774, 10.3249909878
74, 32, 16, 64, 10.235407114, 10.240021944, 10.2423200607, 10.235407114
75, 64, 16, 64, 10.2564129829, 10.2616479397, 10.2691059113, 10.2564129829
76, 4, 32, 4, 15.1028308868, 15.1102788448, 15.8813180923, 15.1028308868
77, 8, 32, 4, 14.230435133, 14.2837049961, 14.5862190723, 14.230435133
78, 16, 32, 4, 13.7431468964, 13.9623990059, 14.0257358551, 13.7431468964
79, 32, 32, 4, 13.6132218838, 13.627751112, 13.7994401455, 13.6132218838
80, 64, 32, 4, 13.8788380623, 13.9104430676, 14.0074160099, 13.8788380623
81, 4, 32, 8, 14.9501409531, 14.9966709614, 15.0296158791, 14.9501409531
82, 8, 32, 8, 13.584551096, 14.0047340393, 14.1907269955, 13.584551096
83, 16, 32, 8, 13.5988409519, 13.6084868908, 13.7495949268, 13.5988409519
84, 32, 32, 8, 13.2712118626, 13.3834161758, 13.4540688992, 13.2712118626
85, 64, 32, 8, 13.502409935, 13.6629991531, 13.8314321041, 13.502409935
86, 4, 32, 16, 13.9532761574, 13.9648280144, 14.3712668419, 13.9532761574
87, 8, 32, 16, 13.7158679962, 13.7328538895, 13.7553539276, 13.7158679962
88, 16, 32, 16, 13.2700078487, 13.377104044, 13.3996450901, 13.2700078487
89, 32, 32, 16, 13.1965429783, 13.2085931301, 13.2685720921, 13.1965429783
90, 64, 32, 16, 13.3335390091, 13.3349010944, 13.3391029835, 13.3335390091
91, 4, 32, 32, 13.9354798794, 14.1710519791, 14.2233150005, 13.9354798794
92, 8, 32, 32, 13.6360650063, 13.646791935, 13.6881039143, 13.6360650063
93, 16, 32, 32, 13.2690889835, 13.2842829227, 13.32467103, 13.2690889835
94, 32, 32, 32, 13.1196479797, 13.1317830086, 13.2427170277, 13.1196479797
95, 64, 32, 32, 13.1241140366, 13.1524288654, 13.1528530121, 13.1241140366
96, 4, 32, 64, 13.9926588535, 14.013024807, 14.0309247971, 13.9926588535
97, 8, 32, 64, 13.4126708508, 13.4252231121, 13.4775121212, 13.4126708508
98, 16, 32, 64, 13.2124979496, 13.2172150612, 13.2917189598, 13.2124979496
99, 32, 32, 64, 13.0401299, 13.068819046, 13.169080019, 13.0401299
100, 64, 32, 64, 13.0483839512, 13.0485019684, 13.136343956, 13.0483839512
101, 4, 64, 4, 15.038244009, 15.6791899204, 15.7358570099, 15.038244009
102, 8, 64, 4, 14.0813579559, 14.5592339039, 14.9172210693, 14.0813579559
103, 16, 64, 4, 13.7034089565, 13.7654149532, 13.9838330746, 13.7034089565
104, 32, 64, 4, 13.6102688313, 13.6246829033, 13.978577137, 13.6102688313
105, 64, 64, 4, 13.5808830261, 13.5887858868, 13.8254861832, 13.5808830261
106, 4, 64, 8, 14.7066421509, 14.8295781612, 14.9521789551, 14.7066421509
107, 8, 64, 8, 13.3905861378, 13.9153618813, 13.9887740612, 13.3905861378
108, 16, 64, 8, 13.2208948135, 13.6559369564, 13.6888430119, 13.2208948135
109, 32, 64, 8, 13.5495781898, 13.5548729897, 13.5820190907, 13.5495781898
110, 64, 64, 8, 13.2060117722, 13.2634599209, 13.5867269039, 13.2060117722
111, 4, 64, 16, 14.1702039242, 14.2041039467, 14.3490688801, 14.1702039242
112, 8, 64, 16, 13.5813858509, 13.5898010731, 13.6037068367, 13.5813858509
113, 16, 64, 16, 13.3253571987, 13.3286070824, 13.3768122196, 13.3253571987
114, 32, 64, 16, 13.1864330769, 13.5126187801, 13.5768899918, 13.1864330769
115, 64, 64, 16, 13.1422810555, 13.1918230057, 13.1919209957, 13.1422810555
116, 4, 64, 32, 13.7763140202, 13.8525919914, 13.9330630302, 13.7763140202
117, 8, 64, 32, 13.3663830757, 13.3847358227, 13.4420750141, 13.3663830757
118, 16, 64, 32, 13.07102108, 13.1344749928, 13.212043047, 13.07102108
119, 32, 64, 32, 13.0423111916, 13.0472149849, 13.1575160027, 13.0423111916
120, 64, 64, 32, 13.0936570168, 13.2009310722, 13.208837986, 13.0936570168
121, 4, 64, 64, 13.7461760044, 13.801751852, 13.8144459724, 13.7461760044
122, 8, 64, 64, 13.3815760612, 13.4234619141, 13.524502039, 13.3815760612
123, 16, 64, 64, 13.0646998882, 13.3548231125, 13.3576710224, 13.0646998882
124, 32, 64, 64, 12.861798048, 13.129914999, 13.1350979805, 12.861798048
125, 64, 64, 64, 12.8434171677, 12.8950607777, 13.2925710678, 12.8434171677
